month,PSA,cameras
2016-10-01,402,3
2016-10-01,403,5
2016-10-01,404,9
2016-10-01,405,3
2016-10-01,406,1
2016-10-01,407,5
2016-10-01,408,1
2016-10-01,409,5
2016-10-01,501,9
2016-10-01,502,5
2016-10-01,503,2
2016-10-01,504,6
2016-10-01,505,0
2016-10-01,506,2
2016-10-01,507,9
2016-10-01,601,0
2016-10-01,602,2
2016-10-01,603,1
2016-10-01,604,0
2016-10-01,605,2
2016-10-01,606,1
2016-10-01,607,0
2016-10-01,608,0
2016-10-01,701,6
2016-10-01,702,0
2016-10-01,703,1
2016-10-01,704,0
2016-10-01,705,0
2016-10-01,706,0
2016-10-01,707,0
2016-10-01,708,1
2016-11-01,101,0
2016-11-01,102,0
2016-11-01,103,0
2016-11-01,104,10
2016-11-01,105,0
2016-11-01,106,4
2016-11-01,107,12
2016-11-01,108,12
2016-11-01,201,4
2016-11-01,202,7
2016-11-01,203,1
2016-11-01,204,0
2016-11-01,205,9
2016-11-01,206,2
2016-11-01,207,0
2016-11-01,208,2
2016-11-01,301,3
2016-11-01,302,5
2016-11-01,303,0
2016-11-01,304,1
2016-11-01,305,3
2016-11-01,306,1
2016-11-01,307,3
2016-11-01,308,3
2016-11-01,401,2
2016-11-01,402,6
2016-11-01,403,4
2016-11-01,404,10
2016-11-01,405,6
2016-11-01,406,1
2016-11-01,407,9
2016-11-01,408,1
2016-11-01,409,4
2016-11-01,501,16
2016-11-01,502,17
2016-11-01,503,11
2016-11-01,504,7
2016-11-01,505,1
2016-11-01,506,5
2016-11-01,507,5
2016-11-01,601,2
2016-11-01,602,4
2016-11-01,603,1
2016-11-01,604,2
2016-11-01,605,2
2016-11-01,606,1
2016-11-01,607,0
2016-11-01,608,2
2016-11-01,701,1
2016-11-01,702,0
2016-11-01,703,0
2016-11-01,704,0
2016-11-01,705,0
2016-11-01,706,0
2016-11-01,707,1
2016-11-01,708,0
2016-12-01,101,0
2016-12-01,102,0
2016-12-01,103,1
2016-12-01,104,6
2016-12-01,105,1
