month,PSA,OFFENSE,crimes
2017-01-01,403,assault w/dangerous weapon,0
2017-01-01,403,burglary,1
2017-01-01,403,homicide,0
2017-01-01,403,motor vehicle theft,0
2017-01-01,403,robbery,2
2017-01-01,403,sex abuse,0
2017-01-01,403,theft f/auto,4
2017-01-01,403,theft/other,0
2017-01-01,404,arson,0
2017-01-01,404,assault w/dangerous weapon,1
2017-01-01,404,burglary,0
2017-01-01,404,homicide,0
2017-01-01,404,motor vehicle theft,1
2017-01-01,404,robbery,0
2017-01-01,404,sex abuse,0
2017-01-01,404,theft f/auto,3
2017-01-01,404,theft/other,12
2017-01-01,405,arson,0
2017-01-01,405,assault w/dangerous weapon,1
2017-01-01,405,burglary,0
2017-01-01,405,homicide,0
2017-01-01,405,motor vehicle theft,0
2017-01-01,405,robbery,2
2017-01-01,405,sex abuse,0
2017-01-01,405,theft f/auto,6
2017-01-01,405,theft/other,3
2017-01-01,406,arson,0
2017-01-01,406,assault w/dangerous weapon,0
2017-01-01,406,burglary,0
2017-01-01,406,homicide,0
2017-01-01,406,motor vehicle theft,0
2017-01-01,406,robbery,1
2017-01-01,406,sex abuse,0
2017-01-01,406,theft f/auto,1
2017-01-01,406,theft/other,4
2017-01-01,407,arson,0
2017-01-01,407,assault w/dangerous weapon,0
2017-01-01,407,burglary,1
2017-01-01,407,homicide,0
2017-01-01,407,motor vehicle theft,3
2017-01-01,407,robbery,1
2017-01-01,407,sex abuse,0
2017-01-01,407,theft f/auto,4
2017-01-01,407,theft/other,3
2017-01-01,408,arson,0
2017-01-01,408,assault w/dangerous weapon,0
2017-01-01,408,burglary,0
2017-01-01,408,homicide,0
2017-01-01,408,motor vehicle theft,0
2017-01-01,408,robbery,1
2017-01-01,408,sex abuse,0
2017-01-01,408,theft f/auto,2
2017-01-01,408,theft/other,3
2017-01-01,409,arson,0
2017-01-01,409,assault w/dangerous weapon,0
2017-01-01,409,burglary,0
2017-01-01,409,homicide,0
2017-01-01,409,motor vehicle theft,0
2017-01-01,409,robbery,0
2017-01-01,409,sex abuse,0
2017-01-01,409,theft f/auto,8
2017-01-01,409,theft/other,6
2017-01-01,501,arson,0
2017-01-01,501,assault w/dangerous weapon,0
2017-01-01,501,burglary,1
2017-01-01,501,homicide,0
2017-01-01,501,motor vehicle theft,1
2017-01-01,501,robbery,2
2017-01-01,501,sex abuse,0
2017-01-01,501,theft f/auto,13
2017-01-01,501,theft/other,6
2017-01-01,502,arson,0
2017-01-01,502,assault w/dangerous weapon,2
2017-01-01,502,burglary,0
2017-01-01,502,homicide,0
2017-01-01,502,motor vehicle theft,1
2017-01-01,502,robbery,2
2017-01-01,502,sex abuse,0
2017-01-01,502,theft f/auto,3
2017-01-01,502,theft/other,1
2017-01-01,503,arson,0
2017-01-01,503,assault w/dangerous weapon,1
2017-01-01,503,burglary,0
2017-01-01,503,homicide,0
2017-01-01,503,motor vehicle theft,2
2017-01-01,503,robbery,1
2017-01-01,503,sex abuse,0
2017-01-01,503,theft f/auto,9
2017-01-01,503,theft/other,7
2017-01-01,504,arson,0
2017-01-01,504,assault w/dangerous weapon,0
2017-01-01,504,burglary,0
2017-01-01,504,homicide,0
2017-01-01,504,motor vehicle theft,2
2017-01-01,504,robbery,0
2017-01-01,504,sex abuse,0
2017-01-01,504,theft f/auto,5
2017-01-01,504,theft/other,5
2017-01-01,505,arson,0
2017-01-01,505,assault w/dangerous weapon,2
2017-01-01,505,burglary,0
2017-01-01,505,homicide,0
2017-01-01,505,motor vehicle theft,1
2017-01-01,505,robbery,1
2017-01-01,505,sex abuse,0
2017-01-01,505,theft f/auto,4
2017-01-01,505,theft/other,9
2017-01-01,506,arson,0
2017-01-01,506,assault w/dangerous weapon,3
2017-01-01,506,burglary,1
2017-01-01,506,homicide,0
2017-01-01,506,motor vehicle theft,1
2017-01-01,506,robbery,2
2017-01-01,506,sex abuse,0
2017-01-01,506,theft f/auto,6
2017-01-01,506,theft/other,8
2017-01-01,507,arson,0
2017-01-01,507,assault w/dangerous weapon,3
2017-01-01,507,burglary,2
2017-01-01,507,homicide,1
2017-01-01,507,motor vehicle theft,1
2017-01-01,507,robbery,2
2017-01-01,507,sex abuse,0
2017-01-01,507,theft f/auto,5
2017-01-01,507,theft/other,16
2017-01-01,601,arson,0
2017-01-01,601,assault w/dangerous weapon,0
2017-01-01,601,burglary,1
2017-01-01,601,homicide,0
2017-01-01,601,motor vehicle theft,0
2017-01-01,601,robbery,0
2017-01-01,601,sex abuse,0
2017-01-01,601,theft f/auto,0
2017-01-01,601,theft/other,0
2017-01-01,602,arson,0
2017-01-01,602,assault w/dangerous weapon,4
2017-01-01,602,burglary,1
2017-01-01,602,homicide,1
2017-01-01,602,motor vehicle theft,7
2017-01-01,602,robbery,1
2017-01-01,602,sex abuse,0
2017-01-01,602,theft f/auto,6
2017-01-01,602,theft/other,10
2017-01-01,603,arson,0
2017-01-01,603,assault w/dangerous weapon,2
2017-01-01,603,burglary,0
2017-01-01,603,homicide,0
2017-01-01,603,motor vehicle theft,3
2017-01-01,603,robbery,7
2017-01-01,603,sex abuse,1
2017-01-01,603,theft f/auto,3
2017-01-01,603,theft/other,8
2017-01-01,604,arson,0
2017-01-01,604,assault w/dangerous weapon,2
